population,fitness,solution
5,15.211374961149966,[-0.9749435218137412, 0.9893319254243561, -0.8066802261216064, -1.1307191658971003, 0.08823714428411837]
10,10.562874175773375,[0.09490827777068818, 0.9296328440125147, -1.0080461643124456, -0.8601547510195552, -1.0510642122165175]
15,2.5880631403070335,[-1.0024181277060398, 0.08094543369694102, 0.009190215573990301, 0.028051159499249644, 0.026341901661858638]
20,8.270504281426838e-10,[1.290986517972265e-06, -5.49308148998741e-08, 6.48183471365313e-07, -1.2764343976055978e-06, -6.705811022878064e-07]
25,1.8207657603852567e-12,[6.642260473550403e-08, 1.1404787620788427e-08, -3.501904844539483e-08, 2.7675449737844896e-09, -5.8450750763655694e-08]
30,2.2382096176443156e-13,[1.8515034748451638e-08, 1.4411872201817778e-08, 7.53752849675056e-09, -4.394953455734917e-09, -2.2610979699285394e-08]
35,9.173106718662893e-12,[-1.2147185784699412e-07, 2.7267941248316434e-08, -6.652967306842511e-08, -6.323476638755808e-08, 1.4946625896529514e-07]
40,2.4868995751603507e-14,[-1.5383175579081607e-09, 6.199449224586584e-09, -1.5531961731420547e-09, -6.905063188270383e-09, 6.893410076257048e-09]
45,3.558476987733947,[-0.992260846718153, 0.042536637234205886, -0.9763881262111264, -0.016029791214140107, -1.0169809852536045]
50,2.990097394322161,[-0.9923890572814926, 0.9950694877288596, -0.9973112822615815, 0.00037381387138591364, 0.003745686122228324]
55,2.9988225692123063,[-0.9945296851869078, -0.0010924579009184588, -0.9944771966248317, -0.008250592432561635, -0.9957500001030182]
60,2.0117375869466123,[-0.9926335332026751, -0.007555071778301381, -0.9971307368857386, -0.0014000399892209108, 0.006390596995202315]
65,3.1532134679532593,[-0.9972543028821876, 0.010930540255168866, 0.9954228078962819, -0.9925029461278078, -0.026818930216572695]
70,0.0,[1.4434654526017264e-09, -1.8387085241075332e-10, -3.59166547786293e-11, -1.4001644172357405e-09, 1.5991408115883886e-10]
75,3.552713678800501e-15,[3.496873817796038e-09, 7.681080103094157e-10, -2.7444373961321614e-09, -8.430496534862782e-10, -1.5393862826567666e-09]
80,6.0304533305673145,[1.9861846336310078, 1.002243128564568, -0.0025568071718384405, 0.015253229179467117, -0.9951724411552872]
85,3.9877668545761864,[0.9976746738724193, 0.9918263778174756, 0.0029391737100678255, -0.992061802224276, -0.9973616204861422]
90,2.573331734367912e-07,[-1.4790503572643666e-05, 7.608719170584563e-06, -1.7043511837653833e-05, 2.4253375346125257e-05, -1.19052433238977e-05]
95,3.552713678800501e-15,[3.740908094170944e-09, -3.7044711332418416e-09, 1.8798335022014938e-11, -1.579847812144181e-09, -4.5747063929677946e-11]
100,0.0,[-1.1747424286883853e-09, -7.583979268918263e-11, 6.612252724596868e-10, 6.418181613336552e-10, 3.0002412938682255e-11]
