population,fitness,solution
5,8.752762998034019,[-0.8961312919716172, -0.9174526890603821, -0.9031534524688847, -0.9710615037781659, -0.009862687704338608]
10,6.0692012422104895,[0.08036630027896752, 0.9890779900973149, -0.9992328285674944, -0.9451152983644439, -1.0362646977179724]
20,7.530467425786952,[-0.04615736469670056, 0.9977084160016814, -0.9923813163610317, -0.9711991154653999, -2.0025482067899234]
30,1.0106489864748731,[0.0010848738983063385, 0.0014247411415210561, 0.00785276909720794, -0.9950441398665332, -0.0037707369339984066]
40,5.329070518200751e-15,[1.517933274680483e-09, -3.5726199013486477e-09, 3.703690963736482e-09, -3.5764862976644745e-09, -1.633714130660652e-09]
50,0.0,[-1.3366168702585285e-09, 5.855936090630981e-10, 1.5360394603730145e-09, 1.4967982747152407e-09, 7.844009014292721e-11]
60,3.017495202842076,[-0.9942148637278342, 0.9944432459006274, -0.995448452327716, 0.0072323348939231395, 0.010540230099294048]
70,0.0,[-4.6197486876857213e-10, 1.1087381242766498e-09, -1.6306522981115376e-09, 4.959039627802629e-10, 1.1786550694248856e-10]
80,0.0,[-2.710020600676418e-10, -1.4607389115335988e-09, 7.799316594587482e-10, 1.5794555231655974e-09, 1.6899968369121943e-10]
90,1.0044069357990235,[0.0051920121966465465, 0.994909109623476, -0.0007943838195241367, -0.003995680824663935, 0.002017317660479096]
100,0.0,[6.504333318741923e-10, -1.1456160886791272e-09, -8.532466940354643e-10, 6.5572539434528e-10, -4.443302937194125e-11]
120,0.0,[-1.243482112674253e-09, -1.4737690108741596e-09, -2.725281103002128e-11, 1.5729904993096428e-09, 1.0440241322164061e-09]
150,1.9927297000549693,[-0.003688452287075747, -0.00010398723289503842, 0.0007336608796780453, 0.9949127150964149, -0.9948297175585913]
170,0.0,[-3.5837994830658157e-10, 1.2470387898869927e-09, 5.515169079470969e-10, -1.6198068603034436e-09, -1.4133201904338391e-09]
200,3.0076231422999626,[-0.9916583039752478, 0.994902786705454, 0.008492545562438591, -0.004560781287643801, -0.9982544396143509]
